term,Artículo 123,CFF,CPEUM,LFPED,LFT,LFTSE,LIFNVT,LISR,LSAR,LSS,NOM-035,NOM-036,NOM-037,ResolucionMiscelaneaFisca,n152
aborde,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
aborden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000323965
abordo,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
abort,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
abr,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
abra,0,0.0000318445,0,0,0.0000285377,0,0,0,0,0,0,0,0,0,0
abran,0,0,0,0,0,0,0,0,0.0000707878,0,0,0,0,0,0
abras,0,0,0,0,0.0000714543,0,0,0,0,0,0,0,0,0,0
abrasión,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
abrevia,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
abreviat,0,0.0000159223,0,0,0,0,0,0,0.000226172,0,0,0,0,0,0
abriere,0,0.0000398671,0,0,0,0,0,0,0,0,0,0,0,0,0
abrigo,0,0,0,0,0,0,0,0,0,0,0,0,0.000331017,0,0
abril,0,0.0000993407,0.000120459,0.00022969,0.0000415449,0.000226805,0.000247324,0.0000484413,0.0000862345,0.000163653,0.000022793,0,0,0.0000380936,0
abrillanta,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
abrir,0,0.0000301596,0.00000761896,0,0,0,0.0000649791,0,0.00024098,0.000016938,0,0,0,0.00000342389,0
abrirse,0,0,0,0,0,0,0,0,0,0.0000447796,0,0,0,0,0
abrirá,0,0,0,0.0000942368,0.00002922,0.0000797599,0,0,0,0.0000732473,0,0,0,0,0
abrió,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000271556,0
abrog,0,0.00000621886,0,0.000107842,0,0.0000456373,0.0000267972,0.00000649819,0.0000220843,0,0,0,0,0.000002824,0
abroga,0,0.00000613676,0.00000930167,0.000133022,0.00000824924,0.0000900697,0.0000396651,0.000195578,0.0000435856,0.0000137859,0,0,0,0,0.0000498681
abrogan,0,0,0.0000109826,0,0,0,0,0.0000113568,0,0,0,0,0,0.0000197419,0.00008832
abrogará,0,0,0,0,0,0,0,0,0,0,0,0.00018868,0.000132203,0,0
abrogue,0,0.0000108686,0,0.0000942368,0,0.0000797599,0,0,0.0000385966,0,0,0,0,0,0
absolu,0,0.0000108686,0.0000109826,0,0.00000973999,0.0000797599,0,0,0,0,0,0,0,0,0
absoluta,0.000257626,0.0000124377,0.000125682,0,0.00000557307,0,0,0,0,0.0000139703,0,0,0,0.000008472,0.0000505353
absolutas,0,0,0,0,0,0,0,0,0.000141576,0,0,0,0,0,0
absoluto,0,0,0,0,0.0000117183,0,0,0,0,0.000029375,0.000405032,0,0,0,0
absolve,0,0,0,0,0.000107181,0,0,0,0,0,0,0,0,0,0
absolver,0,0,0.0000219652,0,0.0000681799,0.0000797599,0,0,0.0000385966,0,0,0,0,0,0
absolverán,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
absorba,0,0.0000150798,0,0,0.0000135138,0.000110664,0.0000649791,0.0000157571,0,0.0000338759,0,0,0,0,0
absorbe,0,0.0000226197,0,0,0.0000202708,0.000165995,0.0000974687,0.0000315142,0,0.0000508139,0,0,0,0,0
absten,0,0.0000477668,0,0,0,0,0,0,0,0.0000357685,0,0,0,0,0
abstendrá,0,0,0,0,0,0,0,0,0,0.0000357685,0,0,0,0.000021691,0
abstendrán,0,0,0,0,0,0,0,0,0.0000707878,0,0,0,0,0,0
abstenerse,0,0.00000920514,0.00000310056,0,0.000010999,0.0000225174,0.0000528868,0,0.0000326892,0.0000137859,0.0000316808,0,0.0000254768,0.000019507,0
abstenga,0,0,0,0,0.0000142688,0,0,0,0,0,0,0,0,0.000021691,0
abstengan,0,0,0,0,0.0000285377,0,0,0,0,0,0,0,0,0.00000723034,0
absteniéndose,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
absuelto,0,0,0,0,0,0.000146283,0,0,0,0,0,0,0,0,0
absuelva,0,0,0.0000160892,0,0.0000142688,0,0,0,0,0,0,0,0,0,0
abud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161983
abunda,0,0,0,0,0.0000535907,0,0,0,0,0,0,0,0,0,0
abus,0,0,0.0000219652,0.0000942368,0.00000973999,0,0,0,0,0,0.000112218,0,0,0,0
abuso,0,0,0.0000805703,0,0,0,0,0,0,0,0,0,0,0,0
abusos,0,0,0.0000201426,0,0,0,0,0,0,0,0,0,0,0,0
acab,0,0.0000108686,0,0,0.0000584399,0,0,0.0000340704,0,0,0,0,0,0.00000493548,0
acabo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
academia,0,0,0.0000160892,0,0.0000428065,0,0,0,0,0,0,0,0,0,0
academias,0,0,0,0,0,0.000292566,0,0,0,0,0,0,0,0,0
académica,0,0,0.00000761896,0.0000653749,0.0000743261,0,0,0.00000787856,0,0,0,0,0,0.000030815,0.0000612702
académicas,0,0,0,0.000113378,0.0000703099,0,0,0,0,0,0,0,0,0,0.000425036
académico,0,0,0.0000660666,0,0.0000820282,0,0,0,0,0,0,0,0,0.00000593794,0
académicos,0,0,0.00003964,0,0.0000585916,0,0,0,0,0,0,0,0,0,0.000106259
acaeciera,0,0,0,0,0,0,0,0,0,0.0000447796,0,0,0,0,0
acajngc,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000181038,0
acajnh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000633631,0
acajni,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000072415,0
acalculias,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acapara,0,0,0.0000402852,0,0,0,0,0,0,0,0,0,0,0,0
acarreen,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acarreo,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acarreos,0,0,0,0,0,0,0,0.0000208289,0,0,0,0,0,0,0
acat,0,0.0000159223,0.0000160892,0,0,0,0,0,0,0,0,0,0,0,0
acatar,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
acatarlas,0,0,0.0000201426,0,0,0,0,0,0,0,0,0,0,0,0
acatará,0,0,0.0000201426,0,0,0,0,0,0,0,0,0,0,0,0
acc,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
acceda,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
accedan,0,0,0.0000321785,0,0,0,0,0,0,0,0,0,0,0.00000723034,0
accede,0,0,0,0,0,0.000146283,0,0,0,0,0,0,0,0,0
acceder,0,0.00000802258,0.0000405335,0.00006956,0.000014379,0.000058874,0.0000345695,0,0.0000142448,0.0000270334,0,0,0,0.00002368,0
accederse,0,0.0000199335,0,0,0,0,0,0,0,0,0,0,0,0,0
accederán,0,0,0.0000160892,0,0,0,0,0,0,0.0000715369,0,0,0,0,0
accepted,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
accesi,0,0,0.0000549599,0,0.0000162472,0,0,0,0.0000643824,0.0000203638,0,0,0,0,0.0000736627
accesibil,0,0,0.0000965354,0.000690272,0,0,0,0,0,0,0,0,0,0,0
accesiones,0,0,0.0000402852,0,0,0,0,0,0,0,0,0,0,0,0
acceso,0,0.0000467183,0.000120166,0.000184124,0.0000520164,0.000051946,0.000061003,0.000010355,0.0000301646,0.0000222621,0,0,0.0000235093,0.0000334295,0.0000805295
accesorias,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
accesorio,0,0,0,0,0,0,0,0,0,0,0,0,0.000132203,0.00000723034,0
accesorios,0,0.000363861,0.00000510662,0,0.00000905767,0,0.0000435524,0.0000475255,0,0.0000908215,0,0,0.000125881,0.0000963844,0
accesos,0,0,0.0000132133,0,0,0,0,0,0,0,0.000135011,0,0,0.00000593794,0
acch,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
accide,0.000548714,0,0.0000156151,0,0.0000474799,0.000048601,0,0.00000461345,0,0.000104143,0.000091172,0.0000784796,0.000256613,0.00000200493,0.000771378
accident,0,0,0,0,0.0000117183,0,0,0,0,0.0000587499,0,0,0,0,0.000318777
accidental,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
accidentales,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
accion,0,0.000298164,0.0000102132,0,0.00000452884,0,0.0000435524,0.00059671,0.000376874,0.0000113527,0,0,0,0.00034423,0
account,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
aceite,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
aceites,0.000312352,0.00000753989,0.00000761896,0,0.000101354,0,0,0.0000472713,0,0,0,0,0,0.00000342389,0
aceler,0,0,0,0,0,0,0,0,0,0,0.000986377,0,0.000132203,0,0
acelera,0,0,0,0,0.000107181,0,0,0,0,0,0,0,0,0,0
acelerarse,0,0,0,0,0,0,0,0,0,0,0,0,0.000165509,0,0
acentu,0,0,0,0,0.0000535907,0,0,0,0,0,0,0,0,0,0
acept,0,0.000040429,0.0000102132,0,0.000027173,0.0000741724,0,0.0000158418,0.0000179464,0.0000340581,0,0,0,0.0000229487,0
acepta,0,0.000056158,0.00000405335,0,0.0000251632,0,0,0.0000293402,0.0000142448,0,0.0000414163,0.000617942,0.0000666116,0.0000692184,0
aceptan,0,0.0000477668,0.0000160892,0,0,0,0,0,0,0,0,0,0,0,0
aceptar,0,0.0000252681,0.0000306397,0,0.0000226442,0.0000370862,0,0.00000528062,0.0000179464,0.0000340581,0,0,0,0.0000068846,0
aceptaron,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
aceptarse,0,0,0.0000132133,0,0.0000117183,0,0,0,0,0.000029375,0,0,0,0,0
aceptará,0,0.0000326059,0.0000109826,0,0.00000973999,0,0,0,0,0,0,0,0,0.00000493548,0
aceptarán,0,0,0,0,0,0.0000959602,0,0,0,0.000029375,0,0,0,0.00000593794,0
acepte,0,0.0000326059,0.0000109826,0,0.00002922,0,0,0,0,0,0,0,0,0.0000148064,0
acepten,0,0.00000906492,0,0.0000785976,0.0000162472,0,0,0.00000947208,0,0,0,0,0,0.00000823281,0
acepto,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
aceptándolas,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acerca,0,0.0000452394,0.0000228569,0,0.0000405415,0,0,0,0.0000535512,0.000016938,0,0,0,0.00000684777,0
acero,0.000375529,0.0000181298,0.00000915998,0,0.000129977,0,0,0,0,0,0,0,0,0,0.000147325
aceros,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acerque,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
acervo,0,0,0.0000402852,0,0,0,0,0,0,0,0,0,0,0,0
acetaldehídos,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acetaminofén,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acetileno,0,0,0,0,0.0000893178,0,0,0,0,0,0,0,0,0,0
acetilenos,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acetoaminofén,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acetona,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
acetábulo,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acevedo,0,0,0.0000201426,0,0,0,0,0,0,0,0,0,0,0,0
aceves,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acfgcd,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
acfgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000181038,0
acfi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000271556,0
acfpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000543113,0
acgstme,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000244401,0
aclar,0,0,0,0,0,0,0,0.0000136635,0,0.0000587499,0,0,0,0.00000593794,0
aclara,0,0.0000722032,0.0000121601,0.00003478,0.000014379,0.000029437,0,0.00000419146,0.0000284897,0.000126156,0,0,0,0.000251372,0
aclaracion,0,0,0,0,0,0,0,0,0,0.0000447796,0,0,0,0,0
aclarar,0,0.00000906492,0,0,0.0000162472,0,0,0.00000947208,0,0,0.000187189,0,0,0.00000823281,0
aclararse,0,0.0000130762,0,0,0.0000117183,0,0,0,0,0,0,0,0,0.0000118759,0
aclare,0,0.00000906492,0,0.0000785976,0.00000812358,0,0,0.00000947208,0,0,0,0,0,0.0000041164,0
aclaren,0,0,0,0,0.0000142688,0,0,0,0,0,0,0,0,0.0000144607,0
acnii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000271556,0
acné,0,0,0,0,0.0000714543,0,0,0,0,0,0,0,0,0,0
acnéiforme,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acogerse,0,0.0000453246,0,0,0,0,0,0.00000947208,0.0000321912,0.000101819,0,0,0,0.00000823281,0
acojan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000181038,0
acomode,0,0,0.0000160892,0,0.0000142688,0,0,0,0,0,0,0,0,0,0
acompañ,0,0.0000301596,0,0,0.000162166,0.000165995,0,0.0000393928,0.000107102,0,0,0,0,0.0000513583,0
acompaña,0,0,0,0,0.0000570753,0,0,0,0,0,0,0,0,0.00000723034,0
acompañar,0,0.0000634544,0,0,0.0000812358,0,0,0.00000947208,0,0,0,0,0,0.0000658624,0.0000736627
acompañarlas,0,0,0,0,0,0,0,0.0000208289,0,0,0,0,0,0,0
acompañarse,0,0.0000108686,0,0,0.0000779199,0,0,0.0000113568,0,0,0,0,0,0.0000296129,0
acompañará,0,0,0,0,0.0000162472,0.0000665232,0,0.00000947208,0.0000321912,0,0,0,0,0.00000823281,0
acompañarán,0,0,0,0,0.0000234366,0.0000959602,0,0,0.0000464361,0,0,0,0,0,0
acompañe,0,0.0000453246,0.00000915998,0,0.0000243707,0,0,0.0000378883,0,0,0,0,0,0.0000164656,0
acompañen,0,0.0000130762,0,0,0.0000703099,0,0,0,0,0,0,0,0,0.0000178138,0
acompañándolo,0,0,0,0,0,0,0,0,0,0,0,0,0.000165509,0,0
acondicion,0,0,0,0,0.000085613,0,0,0,0,0,0,0,0.000528812,0,0
acondiciona,0,0,0,0,0.0000234366,0,0,0.0000136635,0,0,0,0.000309908,0,0,0
aconsejar,0,0.0000199335,0,0,0,0,0,0,0,0,0,0,0,0,0
acontec,0,0,0,0.000138054,0,0,0,0,0,0,0,0,0,0.0000144607,0
acontecer,0,0,0.0000201426,0,0,0,0,0,0,0,0,0,0,0,0
aconteci,0,0,0,0,0,0,0,0,0,0,0.00280545,0,0.000541455,0.00000493548,0.00017664
acopiar,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acopio,0,0.0000130762,0.0000132133,0,0,0,0,0,0,0,0,0,0,0.00000593794,0
acopla,0,0,0,0,0,0,0,0,0,0,0,0.00118107,0,0,0
acople,0,0,0,0,0,0,0,0,0,0,0,0,0.000165509,0,0
acord,0,0.00000505363,0.00000510662,0,0.000027173,0.0000741724,0,0.0000105612,0.0000538391,0,0,0,0.000335683,0.0000137692,0
acordar,0,0.0000124377,0.0000314204,0.0000539208,0.0000222923,0,0,0,0,0.0000139703,0.000128419,0,0.000103271,0,0
acordarse,0,0,0.0000160892,0,0.0000285377,0,0,0,0,0,0,0,0,0,0
acordará,0,0,0.0000109826,0,0.0000584399,0.0000797599,0,0,0,0,0,0,0.0000902425,0,0
acorde,0,0.0000124377,0.0000251363,0,0.0000167192,0,0,0,0.0000220843,0.0000139703,0.0000642093,0,0,0.00001412,0
acordes,0,0,0.0000109826,0,0,0,0.0000468332,0,0,0.0000488316,0.000112218,0,0,0,0
acordó,0,0.0000217373,0,0,0,0,0,0,0,0,0.000112218,0.000128794,0.0000902425,0,0
acorta,0,0,0,0,0.000178636,0,0,0,0,0,0,0,0,0,0
acortar,0,0,0,0,0,0,0,0,0,0,0.000205812,0,0,0,0
acosar,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acoso,0,0,0,0,0.00013636,0,0,0,0,0,0.00112218,0,0.0000902425,0,0.00008832
acosta,0,0,0.0000152379,0.0000653749,0.00000675692,0,0.0000324896,0,0.0000267756,0.0000338759,0,0,0,0,0
acostumbr,0,0,0,0,0.0000714543,0,0,0,0,0,0,0,0,0,0
acppfgc,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000181038,0
acpph,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000181038,0
acrecenta,0,0,0.0000201426,0,0,0,0,0,0,0,0,0,0,0,0
acred,0,0.0000217373,0,0,0.00002922,0,0,0,0,0,0,0,0,0.0000789676,0.00008832
acredit,0,0.000014157,0.0000028611,0,0.0000114182,0.0000103892,0.000109805,0.0000177515,0,0.0000445242,0.0000292341,0.0000335524,0.0000352639,0.0000186434,0.0000690252
acredita,0,0.0000268984,0,0,0.00000507477,0.0000103892,0.0000061003,0.000100592,0.00000502743,0.0000031803,0.000014617,0.0000167762,0.0000117546,0.0000642875,0.0000230084
acreditan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000289214,0.000129386
acreditar,0.000127113,0.0000767095,0.0000186033,0,0.0000769929,0,0.0000264434,0.000144279,0.0000217928,0.0000137859,0,0,0,0.000140729,0.0000249341
acreditaren,0,0,0,0,0,0,0.0000686093,0,0,0.0000357685,0,0,0,0,0
acreditarlo,0,0,0,0,0,0,0,0.0000624867,0,0,0,0,0,0,0
acreditarse,0,0.0000326059,0.0000219652,0,0,0,0,0.000124925,0,0,0,0,0,0.0000345483,0
acreditará,0,0.0000130762,0,0,0.0000351549,0,0,0.0000273271,0,0,0,0,0,0,0
acreditarán,0,0,0,0,0.00000812358,0,0.0000781218,0.0000378883,0,0.0000203638,0,0,0,0.000020582,0
acredite,0,0.0000767095,0.0000186033,0,0.0000302472,0.0000225174,0.0000264434,0.0000288558,0.0000435856,0.0000413577,0,0,0,0.0000836016,0.000199473
acrediten,0,0.0000264909,0.00000446144,0.0000382816,0.000017805,0.0000810017,0.0000570748,0.0000161471,0.0000235185,0.00000991837,0,0,0,0.0000210518,0.000017939
acreditándola,0,0.0000199335,0,0,0,0,0,0,0,0,0,0,0,0,0
acreditándolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
acreditó,0,0.0000108686,0,0.0000942368,0.00000973999,0,0,0,0,0,0,0,0,0.0000246774,0
acree,0,0.000040429,0.0000255331,0,0.0000452884,0.0000370862,0,0.000179541,0.0000179464,0.0000113527,0,0,0,0.0000298333,0
acrilato,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acroaldeh,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acroleína,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acromioclavicular,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acrílico,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acrónimos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000271556,0
acsmc,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000633632,0
act,0.0000586479,0.000254827,0.000114444,0.000122749,0.0000444042,0.0000311676,0.000115906,0.000217456,0.0000904938,0.000063606,0.000014617,0,0,0.000205077,0
acta,0,0.00024547,0.0000124022,0.0000266045,0.0000577447,0.000135105,0,0.000016031,0.0000217928,0.0000206788,0,0,0,0.0000515543,0.0000249341
actas,0,0.000223879,0.0000125682,0,0.000083596,0.0000456373,0,0,0.0000441687,0,0,0,0,0.000019768,0.0000505353
actitud,0,0,0,0,0,0,0,0,0,0,0.000205812,0,0,0,0
actitudes,0,0,0,0.000276109,0,0,0,0,0,0,0.000328792,0,0,0,0
activa,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
activar,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
acto,0.0000282758,0.0000621121,0.0000144839,0.0000355084,0.0000275252,0.0000400714,0.0000147056,0.00000784529,0.0000266625,0.0000122665,0,0,0.0000113345,0.0000130178,0.0000055465
actor,0,0.0000217373,0.0000109826,0,0.0003409,0.0000797599,0,0,0,0,0,0,0,0,0
actora,0,0,0,0,0.000285817,0,0,0,0,0,0,0,0,0,0
actoras,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
actores,0,0,0.0000132133,0,0.0000937465,0,0,0,0,0,0,0,0,0.0000475035,0
actu,0,0.00000621886,0.00000628408,0,0.00021735,0.000273824,0,0.00000649819,0.0000441687,0,0,0,0,0.000008472,0
actua,0,0.0000268984,0.0000143055,0.0000490996,0.0000469416,0.0000415568,0.0000061003,0,0.0000100549,0.0000063606,0.0000730852,0,0.0000235093,0.000005143,0.0000115042
actual,0,0.0000150798,0.0000914276,0,0,0.0000553318,0,0,0,0.000016938,0,0,0.000125208,0.0000239672,0
actualice,0,0.0000301596,0.00000761896,0,0.00000675692,0,0,0.0000472713,0.0000267756,0,0,0,0,0.0000479344,0
actualicen,0,0.00000753989,0.0000152379,0,0,0,0.0000324896,0.0000157571,0,0.000016938,0,0,0,0.0000684777,0
actualiz,0,0.00110462,0.00000620111,0,0.000010999,0,0.0000396651,0.000230846,0.0000217928,0.0000689294,0,0,0.0000764305,0.00019925,0.0000997363
actualiza,0,0.0000920208,0.0000371943,0,0.0000799276,0.0000207784,0.0000793039,0.000139054,0.0000100549,0.000063606,0,0.0000167762,0.0000117546,0.000204434,0.0000460168
actualizacion,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
actualizan,0,0.000445823,0,0,0,0,0,0,0,0,0,0,0,0.0000867641,0
actualizar,0,0.000024547,0.0000124022,0.0000266045,0.00000824924,0,0.0000132217,0.000016031,0.0000217928,0.00000689294,0,0,0,0.0000292606,0.0000249341
actualizarla,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
actualizaron,0,0.0000261524,0,0,0,0,0,0.0000136635,0,0,0,0,0,0.0000356276,0
actualizarse,0,0.00000401129,0.00000405335,0,0.00000359474,0,0.0000172847,0.00000838292,0.0000142448,0.00000901114,0,0.000047534,0,0.0000127508,0
actualizará,0,0.0000505363,0.00000510662,0,0.00000452884,0,0,0.000295714,0.0000717855,0.0000794688,0,0,0,0.0000436024,0.0000410665
actualizarán,0,0.0000453246,0,0,0,0,0,0.000198914,0.0000643824,0.0000407277,0,0,0,0.0000493968,0
actualizándose,0,0,0.0000201426,0,0,0,0,0,0,0,0,0,0,0,0
actualizó,0,0.0000108686,0,0,0,0,0,0.000124925,0.0000385966,0,0,0,0,0.0000148064,0
actuar,0,0.000015453,0.00000223072,0.0000191408,0.0000158266,0.0000324007,0.00000951247,0.0000161471,0.000015679,0,0.000091172,0,0,0.00000902218,0.000017939
actuarial,0,0,0,0,0,0,0,0,0,0.00107471,0,0,0,0,0
